FileName, KnownNumberArrangement, SecondsElapsed, NumberCount\n
../data-set/100000-numbers-17-ordered-ascending.txt, ascending, 0m0.008s, 100000
../data-set/100000-numbers-17-ordered-descending.txt, descending, 0m0.008s, 100000
../data-set/100000-numbers-17-unordered.txt, unordered, 0m0.009s, 100000
../data-set/100000-numbers-18-ordered-ascending.txt, ascending, 0m0.008s, 100000
../data-set/100000-numbers-18-ordered-descending.txt, descending, 0m0.007s, 100000
../data-set/100000-numbers-18-unordered.txt, unordered, 0m0.010s, 100000
../data-set/100000-numbers-19-ordered-ascending.txt, ascending, 0m0.006s, 100000
../data-set/100000-numbers-19-ordered-descending.txt, descending, 0m0.008s, 100000
../data-set/100000-numbers-19-unordered.txt, unordered, 0m0.007s, 100000
../data-set/100000-numbers-2-ordered-ascending.txt, ascending, 0m0.006s, 100000
../data-set/100000-numbers-2-ordered-descending.txt, descending, 0m0.009s, 100000
../data-set/100000-numbers-2-unordered.txt, unordered, 0m0.006s, 100000
../data-set/100000-numbers-20-ordered-ascending.txt, ascending, 0m0.009s, 100000
../data-set/100000-numbers-20-ordered-descending.txt, descending, 0m0.014s, 100000
../data-set/100000-numbers-20-unordered.txt, unordered, 0m0.006s, 100000
../data-set/100000-numbers-21-ordered-ascending.txt, ascending, 0m0.011s, 100000
../data-set/100000-numbers-21-ordered-descending.txt, descending, 0m0.008s, 100000
../data-set/100000-numbers-21-unordered.txt, unordered, 0m0.007s, 100000
../data-set/100000-numbers-22-ordered-ascending.txt, ascending, 0m0.012s, 100000
../data-set/100000-numbers-22-ordered-descending.txt, descending, 0m0.010s, 100000
../data-set/100000-numbers-22-unordered.txt, unordered, 0m0.013s, 100000
../data-set/100000-numbers-23-ordered-ascending.txt, ascending, 0m0.013s, 100000
../data-set/100000-numbers-23-ordered-descending.txt, descending, 0m0.009s, 100000
../data-set/100000-numbers-23-unordered.txt, unordered, 0m0.008s, 100000
../data-set/100000-numbers-24-ordered-ascending.txt, ascending, 0m0.012s, 100000
../data-set/100000-numbers-24-ordered-descending.txt, descending, 0m0.009s, 100000
../data-set/100000-numbers-24-unordered.txt, unordered, 0m0.010s, 100000
../data-set/100000-numbers-25-ordered-ascending.txt, ascending, 0m0.008s, 100000
../data-set/100000-numbers-25-ordered-descending.txt, descending, 0m0.009s, 100000
../data-set/100000-numbers-25-unordered.txt, unordered, 0m0.006s, 100000
../data-set/100000-numbers-26-ordered-ascending.txt, ascending, 0m0.007s, 100000
../data-set/100000-numbers-26-ordered-descending.txt, descending, 0m0.010s, 100000
../data-set/100000-numbers-26-unordered.txt, unordered, 0m0.011s, 100000
../data-set/100000-numbers-27-ordered-ascending.txt, ascending, 0m0.012s, 100000
../data-set/100000-numbers-27-ordered-descending.txt, descending, 0m0.011s, 100000
../data-set/100000-numbers-27-unordered.txt, unordered, 0m0.007s, 100000
