FileName; KnownNumberArrangement; SecondsElapsed; NumberCount; OperationCount
data-set/100000-numbers-28-unordered.txt.csv; unordered;31.290195;100000;-1804949922
data-set/100000-numbers-29-ordered-ascending.txt.csv; ascending;11.540216;100000;99997
data-set/100000-numbers-29-ordered-descending.txt.csv; descending;27.967653;100000;704829528
data-set/100000-numbers-29-unordered.txt.csv; unordered;31.548096;100000;-1799445643
data-set/100000-numbers-3-ordered-ascending.txt.csv; ascending;10.229102;100000;99994
data-set/100000-numbers-3-ordered-descending.txt.csv; descending;27.103956;100000;704830428
data-set/100000-numbers-3-unordered.txt.csv; unordered;31.554396;100000;-1798534907
data-set/100000-numbers-4-ordered-ascending.txt.csv; ascending;10.171434;100000;99996
data-set/100000-numbers-4-ordered-descending.txt.csv; descending;29.449806;100000;704830133
data-set/100000-numbers-4-unordered.txt.csv; unordered;38.552227;100000;-1793049778
data-set/100000-numbers-5-ordered-ascending.txt.csv; ascending;12.479603;100000;99998
data-set/100000-numbers-5-ordered-descending.txt.csv; descending;31.198954;100000;704830063
data-set/100000-numbers-5-unordered.txt.csv; unordered;37.432289;100000;-1795356080
data-set/100000-numbers-6-ordered-ascending.txt.csv; ascending;11.606403;100000;99997
data-set/100000-numbers-6-ordered-descending.txt.csv; descending;33.275654;100000;704830016
data-set/100000-numbers-6-unordered.txt.csv; unordered;37.591759;100000;-1796742964
data-set/100000-numbers-7-ordered-ascending.txt.csv; ascending;11.335932;100000;99994
data-set/100000-numbers-7-ordered-descending.txt.csv; descending;30.332918;100000;704829894
data-set/100000-numbers-7-unordered.txt.csv; unordered;35.672302;100000;-1792992661
data-set/100000-numbers-8-ordered-ascending.txt.csv; ascending;12.040155;100000;99994
data-set/100000-numbers-8-ordered-descending.txt.csv; descending;29.856932;100000;704829938
data-set/100000-numbers-8-unordered.txt.csv; unordered;40.572327;100000;-1793747519
data-set/100000-numbers-9-ordered-ascending.txt.csv; ascending;13.590005;100000;99995
data-set/100000-numbers-9-ordered-descending.txt.csv; descending;29.898748;100000;704830085
data-set/100000-numbers-9-unordered.txt.csv; unordered;34.863678;100000;-1798837495
data-set/20000-numbers-0-ordered-ascending.txt.csv; ascending;0.441959;20000;19998
data-set/20000-numbers-0-ordered-descending.txt.csv; descending;1.281064;20000;199983788
data-set/20000-numbers-0-unordered.txt.csv; unordered;1.461662;20000;100349054
data-set/20000-numbers-1-ordered-ascending.txt.csv; ascending;0.478376;20000;19997
data-set/20000-numbers-1-ordered-descending.txt.csv; descending;1.243433;20000;199983809
data-set/20000-numbers-1-unordered.txt.csv; unordered;1.497615;20000;99942598
data-set/20000-numbers-10-ordered-ascending.txt.csv; ascending;0.479179;20000;19999
data-set/20000-numbers-10-ordered-descending.txt.csv; descending;1.362181;20000;199983925
data-set/20000-numbers-10-unordered.txt.csv; unordered;1.414957;20000;99676876
data-set/20000-numbers-11-ordered-ascending.txt.csv; ascending;0.482150;20000;19999
data-set/20000-numbers-11-ordered-descending.txt.csv; descending;1.398730;20000;199983798
data-set/20000-numbers-11-unordered.txt.csv; unordered;1.450944;20000;100436791
data-set/20000-numbers-12-ordered-ascending.txt.csv; ascending;0.474044;20000;19999
data-set/20000-numbers-12-ordered-descending.txt.csv; descending;1.260197;20000;199983847
data-set/20000-numbers-12-unordered.txt.csv; unordered;1.522400;20000;100468386
data-set/20000-numbers-13-ordered-ascending.txt.csv; ascending;0.485772;20000;19998
data-set/20000-numbers-13-ordered-descending.txt.csv; descending;1.326877;20000;199983926
data-set/20000-numbers-13-unordered.txt.csv; unordered;1.423471;20000;100199365
data-set/20000-numbers-14-ordered-ascending.txt.csv; ascending;0.474072;20000;19999
data-set/20000-numbers-14-ordered-descending.txt.csv; descending;1.418620;20000;199983934
data-set/20000-numbers-14-unordered.txt.csv; unordered;1.492257;20000;99739593
data-set/20000-numbers-15-ordered-ascending.txt.csv; ascending;0.478380;20000;19999
data-set/20000-numbers-15-ordered-descending.txt.csv; descending;1.275067;20000;199983989
data-set/20000-numbers-15-unordered.txt.csv; unordered;1.404721;20000;99720918
data-set/20000-numbers-16-ordered-ascending.txt.csv; ascending;0.511317;20000;19998
data-set/20000-numbers-16-ordered-descending.txt.csv; descending;1.291167;20000;199983986
data-set/20000-numbers-16-unordered.txt.csv; unordered;1.432161;20000;99480446
data-set/20000-numbers-17-ordered-ascending.txt.csv; ascending;0.475909;20000;19998
data-set/20000-numbers-17-ordered-descending.txt.csv; descending;1.347724;20000;199983947
data-set/20000-numbers-17-unordered.txt.csv; unordered;1.461028;20000;100071666
data-set/20000-numbers-18-ordered-ascending.txt.csv; ascending;0.460046;20000;19999
data-set/20000-numbers-18-ordered-descending.txt.csv; descending;1.523766;20000;199983722
data-set/20000-numbers-18-unordered.txt.csv; unordered;1.815177;20000;99511069
data-set/20000-numbers-19-ordered-ascending.txt.csv; ascending;0.554867;20000;19998
data-set/20000-numbers-19-ordered-descending.txt.csv; descending;1.370666;20000;199984010
data-set/20000-numbers-19-unordered.txt.csv; unordered;1.449117;20000;100195729
data-set/20000-numbers-2-ordered-ascending.txt.csv; ascending;0.645275;20000;19999
data-set/20000-numbers-2-ordered-descending.txt.csv; descending;1.687844;20000;199983872
data-set/20000-numbers-2-unordered.txt.csv; unordered;1.818530;20000;99929503
data-set/20000-numbers-20-ordered-ascending.txt.csv; ascending;0.570859;20000;19999
data-set/20000-numbers-20-ordered-descending.txt.csv; descending;1.600633;20000;199983872
data-set/20000-numbers-20-unordered.txt.csv; unordered;1.580000;20000;100259794
data-set/20000-numbers-21-ordered-ascending.txt.csv; ascending;0.466079;20000;19999
data-set/20000-numbers-21-ordered-descending.txt.csv; descending;1.303601;20000;199983901
data-set/20000-numbers-21-unordered.txt.csv; unordered;1.425510;20000;99009353
data-set/20000-numbers-22-ordered-ascending.txt.csv; ascending;0.515419;20000;19999
data-set/20000-numbers-22-ordered-descending.txt.csv; descending;1.294389;20000;199983821
data-set/20000-numbers-22-unordered.txt.csv; unordered;1.396319;20000;100183208
data-set/20000-numbers-23-ordered-ascending.txt.csv; ascending;0.501555;20000;19999
data-set/20000-numbers-23-ordered-descending.txt.csv; descending;1.363795;20000;199983939
data-set/20000-numbers-23-unordered.txt.csv; unordered;1.451876;20000;99332190
data-set/20000-numbers-24-ordered-ascending.txt.csv; ascending;0.466694;20000;19999
data-set/20000-numbers-24-ordered-descending.txt.csv; descending;1.266851;20000;199983915
data-set/20000-numbers-24-unordered.txt.csv; unordered;1.476329;20000;100453668
data-set/20000-numbers-25-ordered-ascending.txt.csv; ascending;0.507626;20000;19999
data-set/20000-numbers-25-ordered-descending.txt.csv; descending;1.290306;20000;199983889
data-set/20000-numbers-25-unordered.txt.csv; unordered;1.422786;20000;99260507
data-set/20000-numbers-26-ordered-ascending.txt.csv; ascending;0.499019;20000;19998
data-set/20000-numbers-26-ordered-descending.txt.csv; descending;1.347706;20000;199983948
data-set/20000-numbers-26-unordered.txt.csv; unordered;1.516024;20000;100255349
data-set/20000-numbers-27-ordered-ascending.txt.csv; ascending;0.473385;20000;19998
