FileName, KnownNumberArrangement, SecondsElapsed, NumberCount, OperationCount\n
../dataset/100000-numbers-14-unordered.txt.csv, unordered, 7.056177,100000,-1791795209
../dataset/100000-numbers-15-ordered-ascending.txt.csv, ascending, 0.000620,100000,99997
../dataset/100000-numbers-15-ordered-descending.txt.csv, descending, 14.017746,100000,704830307
../dataset/100000-numbers-15-unordered.txt.csv, unordered, 7.048919,100000,-1798775956
../dataset/100000-numbers-16-ordered-ascending.txt.csv, ascending, 0.000616,100000,99999
../dataset/100000-numbers-16-ordered-descending.txt.csv, descending, 14.846550,100000,704829818
../dataset/100000-numbers-16-unordered.txt.csv, unordered, 7.162783,100000,-1789161129
../dataset/100000-numbers-17-ordered-ascending.txt.csv, ascending, 0.000633,100000,99993
../dataset/100000-numbers-17-ordered-descending.txt.csv, descending, 14.956720,100000,704830394
../dataset/100000-numbers-17-unordered.txt.csv, unordered, 7.400586,100000,-1794019910
../dataset/100000-numbers-18-ordered-ascending.txt.csv, ascending, 0.000594,100000,99995
../dataset/100000-numbers-18-ordered-descending.txt.csv, descending, 14.317134,100000,704830336
../dataset/100000-numbers-18-unordered.txt.csv, unordered, 6.819949,100000,-1788817477
../dataset/100000-numbers-19-ordered-ascending.txt.csv, ascending, 0.000631,100000,99998
../dataset/100000-numbers-19-ordered-descending.txt.csv, descending, 14.277148,100000,704830423
../dataset/100000-numbers-19-unordered.txt.csv, unordered, 6.855388,100000,-1797266040
../dataset/100000-numbers-2-ordered-ascending.txt.csv, ascending, 0.000637,100000,99997
../dataset/100000-numbers-2-ordered-descending.txt.csv, descending, 14.619773,100000,704829931
../dataset/100000-numbers-2-unordered.txt.csv, unordered, 7.234633,100000,-1787064886
../dataset/100000-numbers-20-ordered-ascending.txt.csv, ascending, 0.000629,100000,99995
../dataset/100000-numbers-20-ordered-descending.txt.csv, descending, 14.512882,100000,704830391
../dataset/100000-numbers-20-unordered.txt.csv, unordered, 6.757136,100000,-1796848962
../dataset/100000-numbers-21-ordered-ascending.txt.csv, ascending, 0.001014,100000,99994
../dataset/100000-numbers-21-ordered-descending.txt.csv, descending, 14.325520,100000,704830454
../dataset/100000-numbers-21-unordered.txt.csv, unordered, 6.914977,100000,-1793809924
../dataset/100000-numbers-22-ordered-ascending.txt.csv, ascending, 0.001411,100000,99994
../dataset/100000-numbers-22-ordered-descending.txt.csv, descending, 14.659726,100000,704829437
../dataset/100000-numbers-22-unordered.txt.csv, unordered, 6.777072,100000,-1795173032
../dataset/100000-numbers-23-ordered-ascending.txt.csv, ascending, 0.000613,100000,99998
../dataset/100000-numbers-23-ordered-descending.txt.csv, descending, 14.401469,100000,704829898
../dataset/100000-numbers-23-unordered.txt.csv, unordered, 7.093286,100000,-1790854863
../dataset/100000-numbers-24-ordered-ascending.txt.csv, ascending, 0.001014,100000,99994
../dataset/100000-numbers-24-ordered-descending.txt.csv, descending, 14.694798,100000,704829286
../dataset/100000-numbers-24-unordered.txt.csv, unordered, 6.955535,100000,-1785504849
../dataset/100000-numbers-25-ordered-ascending.txt.csv, ascending, 0.000597,100000,99998
../dataset/100000-numbers-25-ordered-descending.txt.csv, descending, 13.665700,100000,704829855
../dataset/100000-numbers-25-unordered.txt.csv, unordered, 7.249249,100000,-1783649812
../dataset/100000-numbers-26-ordered-ascending.txt.csv, ascending, 0.000701,100000,99996
../dataset/100000-numbers-26-ordered-descending.txt.csv, descending, 13.976403,100000,704829535
../dataset/100000-numbers-26-unordered.txt.csv, unordered, 7.348760,100000,-1786209462
